0,1000
0.21438,1038.1
0.43767,1060.8
0.66517,1073.7
0.89333,1080.6
1.1202,1083.6
1.346,1084.1
1.5699,1083
1.7915,1080.9
2.0103,1078.1
2.2254,1075.2
2.4361,1072.2
2.6426,1069.2
2.8448,1066.2
3.0428,1063.3
3.2358,1060.8
3.4241,1058.7
3.6078,1056.8
3.7871,1055
3.9623,1053.3
4.1326,1051.8
4.2982,1050.3
4.4593,1049
4.616,1047.7
4.7686,1046.4
4.9171,1045.1
5.0611,1044.1
5.2009,1043.3
5.3368,1042.6
5.469,1041.9
5.5975,1041.2
5.7226,1040.5
5.8443,1039.8
5.9623,1039.4
6.0768,1039.1
6.1881,1038.8
6.2963,1038.6
6.4016,1038.3
6.504,1038
6.6038,1037.6
6.7009,1037.2
6.7953,1036.8
6.887,1036.5
6.9762,1036.2
7.0629,1036
7.1473,1035.7
7.2295,1035.4
7.3095,1035
7.3875,1034.6
7.4634,1034.1
7.5374,1033.6
7.6096,1033
7.6798,1032.4
7.7481,1031.9
7.8141,1031.7
7.8781,1031.7
7.9402,1031.7
8.0005,1031.8
8.059,1032.1
8.1158,1032.5
8.1711,1033
8.2251,1033.5
8.2777,1034.3
8.329,1035.3
8.3793,1036.4
8.4285,1037.4
8.4764,1038.6
8.523,1040.1
8.5684,1041.6
8.6126,1043.3
8.6557,1045.1
8.6977,1046.8
8.7387,1048.5
8.7786,1050.3
8.8176,1052
8.8557,1053.6
8.8929,1055.2
8.9292,1056.7
8.9647,1058.1
8.9995,1059.5
9.0333,1060.9
9.0661,1062.5
9.0979,1064.1
9.129,1065.7
9.1592,1067.2
9.1887,1068.7
9.2175,1070.1
9.2456,1071.4
9.2731,1072.7
9.2999,1073.9
9.326,1075
9.3516,1076.1
9.3765,1077.1
9.4009,1078.1
9.4248,1079.1
9.4481,1080
9.4709,1080.8
9.4932,1081.7
9.515,1082.5
9.5363,1083.2
9.5572,1083.9
9.5777,1084.6
9.5978,1085.3
9.6174,1086
9.6367,1086.6
9.6555,1087.2
9.6741,1087.8
9.6922,1088.4
9.7101,1089
9.7276,1089.6
9.7448,1090.1
9.7618,1090.7
9.7784,1091.3
9.7948,1091.8
9.8109,1092.4
9.8267,1093
9.8423,1093.6
9.8577,1094.2
9.8729,1094.8
9.8879,1095.4
9.9027,1096
9.9173,1096.6
9.9318,1097.3
9.946,1097.9
9.9602,1098.6
9.9741,1099.3
9.988,1100.1
10.002,1100.8
10.015,1101.6
10.029,1102.4
10.1,1035.5
10.157,989.94
10.205,958.5
10.247,936.78
10.285,921.87
10.32,911.64
10.353,904.67
10.385,899.97
10.417,896.88
10.447,894.93
10.477,893.8
10.506,893.25
10.535,893.13
10.564,893.31
10.593,893.72
10.622,894.3
10.65,895.01
10.679,895.81
10.707,896.7
10.736,897.64
10.764,898.64
10.792,899.68
10.82,900.76
10.849,901.88
10.877,903.03
10.905,904.21
10.933,905.42
10.962,906.66
10.99,907.92
11.018,909.21
11.046,910.52
11.074,911.86
11.103,913.23
11.131,914.62
11.159,916.03
11.188,917.47
11.216,918.94
11.245,920.44
11.273,921.97
11.302,923.53
11.33,925.12
11.359,926.73
11.388,928.36
11.416,930.02
11.445,931.7
11.474,933.4
11.503,935.12
11.532,936.86
11.561,938.62
11.59,940.4
11.62,942.2
11.649,944.02
11.678,945.86
11.708,947.72
11.738,949.61
11.767,951.54
11.797,953.48
11.827,955.45
11.857,957.44
11.887,959.44
11.918,961.46
11.948,963.5
11.978,965.56
12.009,967.63
12.04,969.71
12.07,971.81
12.101,973.93
12.132,976.06
12.164,978.2
12.195,980.36
12.226,982.53
12.258,984.72
12.29,986.91
12.321,989.12
12.353,991.35
12.385,993.58
12.418,995.83
12.45,998.09
12.483,1000.4
12.515,1002.6
12.548,1004.9
12.581,1007.3
12.614,1009.6
12.647,1011.9
12.681,1014.2
12.714,1016.6
12.748,1018.9
12.782,1021.3
12.816,1023.7
12.85,1026.1
12.885,1028.5
12.919,1030.9
12.954,1033.3
12.988,1035.7
13.023,1038.1
13.059,1040.5
13.094,1043
13.129,1045.4
13.165,1047.9
13.201,1050.4
13.236,1052.8
13.273,1055.3
13.309,1057.8
13.345,1060.3
13.382,1062.8
13.418,1065.3
13.455,1067.8
13.492,1070.3
13.529,1072.8
13.567,1075.3
13.604,1077.9
13.642,1080.4
13.68,1082.9
13.718,1085.5
13.756,1088
13.794,1090.6
13.832,1093.1
13.871,1095.7
13.91,1098.3
13.949,1100.9
13.988,1103.4
14.027,1106.1
14.066,1109.1
14.106,1112.5
14.146,1116.5
14.187,1121
14.228,1126.2
14.27,1132
14.313,1138.5
14.358,1145.5
14.403,1153
14.45,1161
14.498,1169.4
14.549,1178.2
14.6,1187.4
14.654,1197.1
14.709,1207.5
14.766,1219.7
14.826,1233.5
14.889,1248.5
14.955,1264.5
15.024,1281.1
15.096,1298.3
15.172,1316
15.253,1334
15.337,1352.2
15.425,1370.6
15.518,1389.2
15.614,1407.9
15.716,1426.6
15.821,1445.4
15.931,1465.3
16.046,1486.6
16.167,1509
16.293,1532.2
16.426,1556.2
16.564,1580.8
16.709,1606
16.861,1631.9
17.02,1658.6
17.186,1685.5
17.36,1712.5
17.541,1739.5
17.729,1766.4
17.925,1793
18.128,1819.5
18.338,1844.2
18.554,1867.5
18.776,1890.1
19.004,1912.5
19.237,1934.8
19.475,1957.3
19.719,1979.9
19.968,2002.8
20.223,2025.9
20.484,2049.2
20.75,2072.5
21.022,2095.8
21.299,2119.2
21.582,2141.6
21.869,2163.4
22.161,2184.9
22.457,2206.5
22.758,2228.2
23.064,2250.2
23.373,2272.3
23.688,2294.8
24.007,2317.5
24.331,2340.6
24.659,2363.9
24.993,2387.4
25.331,2409.2
25.672,2427.6
26.015,2444.1
26.359,2459.8
26.702,2475.5
27.046,2491.1
27.39,2506.9
27.735,2522.6
28.079,2538.4
28.424,2554.3
28.769,2570.1
29.115,2586.1
29.46,2602
29.807,2617.1
30.152,2631.3
30.497,2645.2
30.842,2658.8
31.185,2672.4
31.528,2686
31.871,2699.5
32.212,2713.1
32.553,2726.8
32.893,2740.4
33.233,2754.1
33.572,2767.8
33.911,2781.5
34.249,2795.5
34.586,2809.8
34.923,2824
35.258,2838.8
35.592,2854
35.925,2869.2
36.257,2884.4
36.589,2899.5
36.919,2914.4
37.249,2929.5
37.578,2944.8
37.906,2960.1
38.234,2975.7
38.56,2991.7
38.887,3007.8
39.212,3023.9
39.537,3039.8
39.862,3055.5
40.188,3071.1
40.512,3086.8
40.837,3103.5
41.162,3120.8
41.487,3138.2
41.812,3155.5
42.138,3172.5
42.464,3188.9
42.79,3205.2
43.116,3221.4
43.442,3237.5
43.766,3254.6
44.09,3272.5
44.414,3290.4
44.737,3308.4
45.061,3326.3
45.383,3344.2
45.706,3362.5
46.028,3381
46.35,3399.6
46.672,3418.1
46.994,3436.6
47.316,3455
47.638,3473.4
47.96,3492
48.281,3510.8
48.603,3529.6
48.924,3548.4
49.245,3567.2
49.567,3585.9
49.888,3604.6
50.209,3622.7
50.529,3640.5
50.849,3658.2
51.168,3675.9
51.486,3693.4
51.803,3710.9
52.12,3728.2
52.435,3745.5
52.751,3762.7
53.065,3780.4
53.378,3798.8
53.689,3817.3
54.001,3835.7
54.311,3854.1
54.62,3872.3
54.929,3890.5
55.237,3908.6
55.544,3926.6
55.851,3944.6
56.157,3962.5
56.462,3980.3
56.766,3998
57.069,4015.6
57.372,4033.1
57.674,4050.5
57.975,4067.8
58.275,4085.1
58.574,4102.2
58.873,4119.3
59.171,4136.3
59.467,4153.2
59.764,4170
60.059,4186.8
60.353,4203.4
60.647,4220
60.94,4236.5
61.232,4253
61.523,4269.3
61.813,4285.6
62.103,4301.8
62.391,4317.9
62.679,4333.9
62.966,4349.9
63.253,4365.8
63.538,4381.6
63.823,4397.3
64.107,4412.9
64.389,4428.1
64.671,4443.3
64.952,4458.4
65.231,4473.4
65.51,4488.2
65.788,4503
66.064,4517.7
66.339,4532.3
66.614,4546.9
66.887,4561.3
67.159,4575.7
67.431,4589.9
67.701,4604.1
67.97,4618.2
68.238,4632.2
68.505,4646.1
68.771,4659.9
69.036,4673.7
69.301,4687.3
69.564,4700.9
69.826,4714.4
70.087,4727.8
70.347,4741.2
70.606,4754.4
71.239,3934.5
71.567,3668.9
71.805,3613.7
72.022,3609.4
72.235,3615.1
72.446,3622.8
72.657,3630.9
72.868,3639
73.078,3647.2
73.288,3655.3
73.498,3663.3
73.707,3671.4
73.916,3679.4
74.125,3687.4
74.333,3695.4
74.541,3703.4
74.748,3711.3
74.956,3719.2
75.163,3727.1
75.369,3735
75.575,3742.8
75.781,3750.7
75.987,3758.5
76.192,3766.2
76.397,3774
76.602,3781.7
76.806,3789.4
77.01,3797.1
77.213,3804.8
77.417,3812.4
77.62,3820
77.822,3827.6
78.024,3835.4
78.226,3843.5
78.427,3851.8
78.628,3859.9
78.828,3868.1
79.028,3876.2
79.228,3884.3
79.427,3892.4
79.626,3900.4
79.824,3908.4
80.022,3916.3
80.22,3924.3
80.417,3932
80.613,3939.8
80.809,3947.4
81.004,3955
81.199,3962.6
81.393,3970.1
81.587,3977.5
81.779,3984.9
81.972,3992.2
82.163,3999.5
82.354,4006.7
82.544,4013.8
82.733,4020.8
82.922,4027.8
83.109,4034.7
83.296,4041.6
83.482,4048.4
83.668,4055.2
83.852,4061.8
84.036,4068.5
84.219,4075
84.401,4081.5
84.582,4088
84.762,4094.4
84.942,4100.7
85.12,4107
85.298,4113.2
85.475,4119.4
85.651,4125.1
85.825,4130.3
85.998,4135.5
86.17,4140.5
86.34,4145.3
86.509,4150.1
86.676,4154.8
86.842,4159.4
87.006,4163.8
87.364,3560.7
87.577,3294.2
87.728,3176.7
87.853,3128.3
87.968,3111
88.079,3105.4
88.188,3103.6
88.296,3103
88.402,3102.6
88.508,3102.1
88.613,3101.3
88.717,3100.4
88.819,3099.3
88.921,3098.3
89.022,3097.1
89.121,3096.7
89.219,3096.6
89.316,3096.4
89.412,3096.3
89.506,3096.1
89.6,3095.8
89.693,3095.5
89.784,3095.2
89.875,3094.8
89.964,3094.4
90.052,3094.2
90.139,3093.7
90.225,3093.2
90.31,3092.7
90.393,3092.1
90.475,3091.4
90.556,3090.7
90.636,3089.9
90.715,3089.1
90.793,3088.3
90.869,3087.7
90.945,3087.1
91.019,3086.5
91.092,3085.8
91.164,3085.2
91.235,3084.5
91.305,3083.7
91.373,3082.6
91.441,3080.1
91.506,3077.1
91.57,3073.8
91.632,3070.5
91.692,3067.1
91.75,3063.6
91.806,3060.1
91.861,3056.6
91.914,3054.1
91.965,3051.9
92.014,3049.8
92.062,3047.6
92.108,3045.3
92.152,3043.1
92.195,3040.8
92.237,3038.4
92.277,3036.1
92.315,3033.8
92.353,3031.4
92.389,3029.1
92.424,3026.8
92.457,3024.5
92.49,3022.4
92.521,3020.3
92.551,3018.4
92.58,3016.5
92.609,3014.7
92.636,3013
92.663,3011.4
92.689,3009.8
92.714,3008.4
92.739,3007
92.763,3005.8
92.786,3004.6
92.809,3003.7
92.831,3002.8
92.853,3001.9
92.874,3001.1
